тэрмін на мове арыгінала (eng.),пераклад тэрміна на беларускую мову,як не перакладаць,заўвагі
third parties,старонні суб'ект,,Samsung
third party,гл. third-party,,
third-party,старонні; старонні суб'ект,,"За выключыннем выпадкаў, калі ў тэксце яўна пералічваюцца першы, другі і трэці бакі"
third-party,старонні,,Samsung
Third-party Services and Content,староннія сэрвісы і змесціва,,Samsung
this,"гэтая, гэтае, гэтыя, гэты (азначэнне); гэта (частка выказніка)",,Ubuntu - гэта свабодная аперацыйная сістэма. Гэтае абнаўленне патрабуе 2МБ месца на дыску. Гэтая прылада не падтрымліваецца.
this can be caused by,прычынай (памылкі) можа быць,,"MS, Anki"
thread,гутарка,,Samsung
threat,пагроза,,Samsung
Three Laws of Mobility,Тры законы мабільнасці,,Samsung
threshold,"парог, парога",,
throwback,згадкі,,Google (Title for music throwback recommendation in weekly cadence. Music that a user was listening this time last year.)
thumbnail,мініяцюра,,"Google (A graphic item displayed beside the information about a video, showing a frame from the video. It is used to provide the viewer with an idea of what the video contains.), Samsung"
thumbs,вялікі палец,,Samsung
Tianjin,Цяньцзінь,,Samsung
tick,пазнака; пазначыць; птушка,,Samsung
tickbox,поле пазнакі,,Samsung
ticket,запыт; білет,,MS — запыт (An entry for a bug or feature request in an issue reporting system.); білет 
tie,гальштук,,Samsung
tiering engine,сістэма ўладкавання,,"MS (A service
 that tracks regions of storage and may move data between them based on 
an input/output policy or other administrator-specified rules.)"
Tijuana,Тыхуана,,Samsung
tilde,тыльда,,Samsung
tile,плітка; разбіць на пліткі,,"Google — плітка(A moveable object on the Start screen that opens apps or other customized content, like pinned websites.; One small piece of a larger picture which you can reassemble later at a larger size (as a poster).); разбіць на пліткі Google (To take one picture and break it into many pieces (""tiles"") so you can reassemble them later in a larger size.)"
tiling,разбіўка на пліткі,разбіццё на пліткі,
tilt,нахіл; нахіліць,схіл,"Telegram, MS;
Google — нахіл (To control how level the horizon of the photo is. не ""схіл"")"
time series,часовы шэраг,часовы шэраг,"Google (Chart that shows the sequence of events that illustrates how a user interacts with a game after opening it for the first time. Includes events, purchases, achievements, etc.)"
Time table,Расклад,,Samsung
time zone,часавы пояс,,Samsung
timed publishing,адкладзеная публікацыя,рэжым публікацыі з затрымкай,"Google (On the Google Play Developer Console, timed publishing means that a developer has control over the time their app is published on Google Play. Like standard publishing, the app is processed and reviewed. Instead of being published automatically, developers have control over publishing times and click a button to publish their app at a specific time.)"
Timeline,хроніка,,Samsung
timeliness,своечасовасць,,Samsung
timeout,час чакання,,"Google (The time that elapses before an activity ends. This device waits until this interval elapses (""times out"") before taking some action automatically, such as dimming and then turning off the screen when the user has stopped interacting with the device.)"
timer,таймер,,Samsung
timestamp,пазнака часу,,"MS — пазнака часу, метка часу, час падзеі
Project Zomboid — пазнака часу"
Timetable,Расклад заняткаў,,Samsung
Timezone,часавы пояс,,Google
Timor-Leste,Тымор-Лешці,,"CLDR, ТНПА"
tint,дадаць тон,таніроўка,Google (To color the photo with a specified color.)
tiny,драбнюткі,,Samsung
tip,парада,,Google (A type of note that helps users apply the techniques and procedures described in the text to their specific needs. A tip suggests alternative methods that may not be obvious and helps users understand the benefits and capabilities of the product. A tip is not essential to the basic understanding of the text.)
tip,падказка,,Samsung
title,загаловак; назва,,"MS, Google — загаловак
Samsung — загаловак, назва"
title card,тытульная картка,,"Google (A title card (or slate) is a still frame with a “sponsored by” or “brought to you by” disclosure message and usually runs a few seconds long. Title cards may be used to identify and promote your own channel and content, including encouraging viewers to subscribe or take other social actions.)"
Tizen,Tizen,,Samsung
Tizen Store,Крама Tizen,,Samsung
TLS,TLS,,Samsung
TMO community,Супольнасць T-Mobile,,Samsung
to do,гл. to-do,,
To Whom It May Concern,Атрымальніку гэтага ліста,,MS
to-do,задача; ! задачы (назва праграмы To Do),,Google — задача
to-dos,задачы,,"Google (A feature working across Google products that allows users to create and manage their tasks. Users are able to capture to-dos from various places (Inbox, Keep, Calendar, and more) to maintain an organized list of things they need to get done. This is a new name for ""Reminders"" introduced to more accurately reflect what the feature actually does.)"
toast,усплывальнае акно,,Google
today,сёння; сённяшні,,Samsung — сёння
Today's wellness column,Калонка пра здароўе,,Samsung
todo,задача; TODO (каментарый у кодзе),,MS
Together Watch Face,цыферблат Together,"Цыферблат ""Разам""","Google (An interactive watch face for Android Wear watches that lets you pair with a partner and share photos, emoji, activities and more through the day. See: http://www.android.com/wear/together/)"
toggle,пераключыць,,"Google (To change between states or modes.), MS"
toggle blur,пераключэнне размытасці,,"Google (Button label. Toggles the blur status in the Vintage filter. The Vintage filter uses two different settings for the blur parameter, on and off. By pressing a button in the UI of Snapseed the user is able to toggle between these two states.)"
toggle key,клавіша пераключэння,,
Togo,Тога,,CLDR
Tokelau,Такелау,,CLDR
token,маркёр,,Samsung
Tokyo,Токіа,,Samsung
tomorrow,заўтра,,Samsung
tonal contrast,танальны кантраст,,"Google (Improves the contrast for a selected range of colors. Bring out fine contrasts across shadows and highlights, with precise exposure control.)"
tone,тон; мелодыя,,Samsung
tone compression,кампрэсія тону,,Google (A term unique to High Dynamic Range imaging; tone compression refers to adjusting the range of tonality in a way such that a scene that would otherwise have too much dynamic range can be rendered appropriately.)
Tonga,Тонга,,CLDR
Tongatapu,Тангатапу,,Samsung
tool,інструмент,,Samsung
tools & utilities,інструменты і ўтыліты,,Google
tooltip,"усплывальная падказка, падказка",,MS
Top Center,Зверху па цэнтры,,"MS — Зверху па цэнтры, Адцэнтравана зверху;
Anki"
Top Fans,Галоўныя фаны,,"Google (YouTube feature allowing video creators to learn more about their most engaged viewers, start conversations with them, and even share exclusive content.)"
Top Free,Топ бясплатных,,"Google (A list of the most popular apps, games, movies, music, devices and books that are available free of charge. For more info see: https://play.google.com/store/search?q=Top%20Free&c=apps&hl=en)"
top grossing,самыя касавыя,,Google
top left,зверху злева,,"MS — зверху злева;
Anki — злева ўверсе"
Top Paid,Топ платных,,"Google (A list of the most popular apps, games, movies, music, devices and books that require a fee. For more info see: https://play.google.com/store/search?q=Top%20Paid&hl=en)"
top right,зверху справа,,"MS — зверху справа;
Anki — справа ўверсе"
top track,найлепшы трэк,,Samsung
top-charts,хіт-парады,,Google
Top-grossing,Топ прыбытковых,,Samsung
top-rated games,гульні з найлепшымі ацэнкамі,,Google
Torch light,Ліхтарык,,Samsung
Toronto,Таронта,,Samsung
TOS,УМОВЫ,,Samsung
total,усяго; агульны,,
total estimated earnings,прыблізны агульны заробак,,"Google (Within YouTube Analytics – Net revenue, subject to adjustments at the end of the month. Includes all earnings from Google sold ads.)"
Total installs by user,Усяго ўсталёвак на карыстальніка,,"Google (Total number of unique users who have ever installed this app on one or more of their devices - only one install is counted per user, regardless of how many different devices they installed it on.)"
total time,агульны час,,
touch,дакрануцца; націснуць; сэнсарны; дотык,,"Google (To make contact with a part of the screen using the fingertip.) — дакрануцца; націснуць;
Samsung — дакрануцца; сэнсарны; дотык"
touch & hold,дакрануцца і ўтрымліваць,,Google (Touch & hold an item on your device's screen by touching it and not lifting your finger until an action occurs.)
touch tone keypad,панэль танальнага набору,,Samsung
touch tone pad,панэль танальнага набору,,Samsung
touchpad,! сэнсарная пляцоўка,,
tough,цвёрды,,Project Zomboid — цвёрды
toughness,"цвёрдасць, моцнасць",,"Project Zomboid — моцнасць

Не блытаць з endurance"
tour,тур,,Google (A virtual field trip in Google Expeditions.)
tower defense games,гульні на абарону вежы,,Google
toy,цацка,,Samsung
trace,трасіроўка,,Samsung
track,трэк; адсочваць,,"Google (A song or an audio snippet. For example, a music album contains many tracks.), Samsung — трэк

Project Zomboid — адсочваць"
track list,спіс трэкаў,,Samsung
tracked channels (UTM),"каналы, якія адсочваюцца (UTM)",,Google (Unique users who installed an app from a UTM-tagged link to the Play store.)
tracking,адсочванне,,MS
Trackpad,сэнсарная панэль,,Samsung
traditional,"традыцыйная, традыцыйны",,"Google (A category of enhancements meant to mimic techniques performed traditionally with chemicals or glass filters.), Samsung"
Traditional Chinese,кітайская (традыцыйныя іерогліфы),,CLDR
traffic mode,рэжым дарожнага руху,,"Google (noun: a setting that, when activated, shows traffic flow on major streets on a map. Other modes are: map/satellite/street view)"
traffic source,крыніца трафіка,,"Google (The referral source of a view for a video. The page, module, or place of a site that drove a viewer to a video.)"
trailer,трэйлер,,Samsung
training,навучанне; трэніроўка,,"Google — навучанне;
Samsung — трэніроўка"
training effect,эфект трэніроўкі,,Samsung
traits,"характарныя рысы, рысы",,Project Zomboid
transaction,трансакцыя,,Samsung
transfer,перадаць; перадача,,Samsung
transform,пераўтварыць; ! трансфармаваць,,"Google (Transforms the image by applying perspective correction, like a distortion and also rotates the image.) — пераўтварыць;
Samsung — трансфармаваць"
transient,часовы,,"MS — часовы, агульны

роднаснае «транзітны»"
translate,перакладаць,,Samsung
Translation Marketplace,Рынак перакладаў,,"Google (A platform where YouTube creators can order professional translations of their content right from their Video Manager. Once they've chosen the target language(s) they prefer, they can simply checkout and pay. When the translation is complete, YouTube will auto-publish their content and send them a confirmation email.)"
Translator,перакладчык,,Samsung
transmit,перадаваць,,Samsung
transmitter,трансмітар,,Samsung
transparency,празрыстасць,,"Telegram, Anki"
trash,сметніца,,Samsung
trash bin,сметніца,,Google
tray,латок; ! вобласць апавяшчэнняў,,"MS — латок, гняздо;
Google — латок;
Samsung – вобласць апавяшчэнняў, вобласць"
Trends,Трэнды,,"Google (Homepage section title, displayed below Spotlight. An algorithmically chosen selection of videos which are currently seeing a rapid increase in popularity. The data is provided by the Trends team/page.)"
trial,пробны;  пробная версія,,"MS – пробная версія;
Samsung — пробны"
trigger,"уключальнік; уключаць; курок (тэхнічны, напр. у стрэльбе); ! курок, пераключальнік (у гульнявых кантролерах)",,"Google — уключальнік (Used as a generic term for the Cardboard input: abstracts the magnet, conductive button, etc. In this case “trigger” would be a noun form of an action that ""triggers"" an interaction or user input.); уключаць (Used as a generic term for the Cardboard input: abstracts the magnet, conductive button, etc. In this case the term is used in the verb form “to trigger”.);
У MS кантролеры маюць левы і правы «пераключальнікі» (але мне здаецца, што тэрмін няўдалы і блытае карыстальніка).
Project Zomboid — уключальнік; курок (тэхнічны, напр. у стрэльбе)"
trim,абрэзаць,,Google (Video clips can be trimmed whereby part of the video is removed or clipped because it is not needed. This is done by adjusting the start or end trim point.)
Trimming,абрэзка,,Samsung
Trinidad and Tobago,Трынідад і Табага,,CLDR
triple tap,трайное націсканне; тройчы націсніце,,Samsung
tropical,трапічны,,Samsung
trousers,штаны,,Project Zomboid (больш афіцыйная вопратка)
true,"сапраўдна; ісціна (мат., прагр.); true; верны (чамусьці, камусьці)",,"Telegram — верны (чамусьці, камусьці);
MS — праўда, ісціна, true;
Project Zomboid — сапраўдна (лепей падыходзіць да «... when true»)

Праўда — суб’ектыўнае, ісціна — аб’ектыўнае
Прым. да «ісціна» — сапраўдны

гл. ТСБМ"
TrueView ads,Рэклама TrueView,,Google (TrueView video ads are video ads that can be created using AdWords for video.)
TrueView In-display,Рэклама на банеры TrueView,,"Google (Name for a TrueView ad format that is displayed generally as a display ad, (e.g. an image or overlay) somewhere on the same page as the video the user is watching)"
TrueView In-search,Рэклама ў пошуку TrueView,,Google (Name for a TrueView ad format that is displayed next to search results from a user-initiated video search and clicks through to a page where the video starts to play)
TrueView In-slate,Рэклама ў застаўцы TrueView,,"Google (Name for a TrueView ad format that is displayed within a slate of options, each of which is an ad the user can watch before watching their main video)"
TrueView In-stream,Рэклама ў паказе TrueView,,"Google (Name for a TrueView ad format that is displayed before, during or after a user watches a video.)"
trunk,сховішча,,Samsung
trust agent,даверчы агент,агент даверу,"Google (New platform feature. An application can provide a ""trust agent"" component, that allows the application to indicate if the phone is believed to be in a trusted environment.)"
trusted,надзейны; давераны,,Samsung
Trusted boot,Давераная загрузка,,Samsung
trusted CA certificate,давераны сертыфікат ЦС,,Samsung
trusted certificate,давераны сертыфікат,,Samsung
trusted devices,давераныя прылады,,"Google (Users can use this Smart Lock setting to designate a connected device, such as a watch, as “trusted.” Trusted devices can use either Bluetooth or Near Field Communication (NFC). When a user's phone is connected to a trusted Bluetooth device, the device is unlocked and stays that way as long as the trusted device remains connected. For NFC devices, tapping the device to a trusted NFC tag unlocks the device just that one time.)"
Trusted face,Давераны твар,,"Google (When this Smart Lock setting is active, you can unlock your phone by looking at the camera. See: https://support.google.com/nexus/answer/6093922 for relevant help article)"
trusted places,давераныя месцы,,"Google (Trusted places on an Android phone are places that a user trusts their device to be kept unlocked in, the user will be able to mark a place that they trust using the loaded Google map that appears, hence, when in that area their device will remain unlocked. Trusted places can be set up within “trust agent” in the security settings page of your Android device.)"
Trusted voice,Давераны голас,,"Google (When this Smart Lock setting is active, you can unlock your phone by speaking to it. See: https://support.google.com/nexus/answer/6093922 for relevant help article)"
try a different search,паспрабуйце пашукаць іншае,,
try again,паўтарыце спробу,,Samsung
try later,паспрабуйце пазней,,Samsung
Try quick glance,Хуткі агляд,,Samsung
TTY,TTY,,"Google (Teletypwriter. A special device that allows people who are deaf, hard of hearing, or speech-impaired to use the telephone to communicate by typing messages.)"
tumbler,тамблер (высокая шклянка),,"Project Zomboid — тамблер (наватвор, транслітарацыя з ангельскай). Звычайны тэрмін шклянка не зусім падыходзіць з-за аманіміі, «высокая шклянка» — груваздкавата, ды й увогуле тамблеры не толькі са шкла робяць і сёння такі тэрмін даволі пашыраны. Нашы суседзі пераймаюць гэты тэрмін часцей як ""тумблер"", але на правах свежага наватвора і для пазбягання аманіміі з тэхнічным пераключальнікам-тумблерам — прапаную такі тэрмін."
tungsten,вальфрамавая лямпа,,Samsung
tuning,рэдагаванне,дэтальная апрацоўка,Google (Detailed photo editing and enhancement features.)
Tuning mode,рэжым настройкі,,Samsung
Tunisia,Туніс,,CLDR
Turkey,Турцыя,,CLDR
Turkish,турэцкая,,CLDR
Turkmenistan,Туркменістан,,CLDR
Turks and Caicos Islands,Астравы Цёркс і Кайкас,,CLDR
turn off,выключыць,,Samsung
Turn off all sounds,Адключыць усе гукі,,Samsung
turn on,уключыць,,Samsung
turning,ператвараючы,пераўтвараючы,
turning off,выключэнне,,MS
turning on,уключэнне,,MS
turning up,павелічэнне,,MS
turquoise,бірузовы (колер),,"Samsung, Project Zomboid — бірузовы"
tutorial,"інструкцыя, інструктаж",,"Samsung — інструкцыя;
Project Zomboid — інструктаж (каб не блытаць з guide)"
Tuvalu,Тувалу,,CLDR
TV banner,Банер для тэлевізара,,Google (A TV banner is an image used to represent an app on Android TV devices. It is used similarly to an app's icon to identify the app.)
TV listings,спісы тэлеперадач,,Google (Android TV. A list of all TV programs scheduled to be shown.)
TV queue,тэлечарга,,"Google (*Will soon be deprecated - term now referred to as ""queue""* A TV queue is a playlist which reflects what is currently playing on the TV. A mobile device becomes a remote controller to control the TV playbacks.)"
TV service provider,Пастаўшчык тэлепаслуг,,Samsung
TV show,тэлеперадача,,Samsung
TV show store,крама тэлеперадач,,Samsung
tween,! копія працэса,,
twist,круціць,,Samsung
Twitter,Twitter,,"Samsung

Гандлёвая марка, не мае зарэгістраванага адпаведніку на беларускай"
type,"тып, тыпу; ! уводзіць (пароль, звесткі і да т.п.); пісаць (паведамленне); друкаваць (тэкст у рэдактары)",,Samsung — тып
typesetting,тыпаграфічны набор,,Moon Reader
Ubuntu,Ubuntu,,
Ubuntu Software,Праграмы Ubuntu,,"Часам пішуць проста Software з вялікай літары як назву інструмента, тады перакладаем ""Праграмы"". software як агульнае імя так НЕ перакладаем"
Uganda,Уганда,,CLDR
UGC,карыстальніцкае змесціва,,"Google (User Generated Content: this is online content that is user created like YouTube Videos, or social media posts. In the context of Content ID we use this to describe user or fan uploads.)"
UI,[карыстальніцкі] інтэрфейс,,"MS, Project Zomboid"
UK,Вялікабрытанія,,CLDR
UK English,вялікабрытанская англійская; англійская (Вялікабрытанія),,CLDR
Ukraine,Украіна,,CLDR
Ukrainian,Украінская,,CLDR
Ulleungdo,Улындо,,Samsung
Ultimate standby mode,Рэжым поўнага чакання,,Samsung
ultra power saving mode,рэжым максімальнага энергазберажэння,,Samsung
ultrasonic,ультрагук,,Samsung
ultrasonic cover,ультрагукавое вечка,,Samsung
ultraviolet,ультрафіялет,,Samsung
UMA,UMA,,Samsung
UMTS,UMTS,,"Google (Abbreviation of ""Universal Mobile Telecommunications System."" A 3G mobile telecommunications technology.)"
unable,немагчыма,,
unable to,немагчыма,,Samsung
unauthorized,! несанкцыянаваны,,
unblock,разблакіраваць,,Samsung
unbury,вярнуць,,Anki
uncompressing,распакаванне,,гл. decompressing
unconditional,безумоўны,,Samsung
underline,падкрэслены (тэкст); падкрэсленне; падкрэсліванне (працэс); падкрэсліць,,"MS, Telegram"
underscore,сімвал падкрэслівання,,"MS – сімвал падкрэслівання, знак падкрэслення, падкрэсленне;
Telegram – сімвал падкрэслівання, ніжняе падкрэсліванне
Anki — падкрэсліванне"
undo,адрабіць,,"Google (To go back to a previous state by reversing the effects of one or more commands.), Samsung"
undone,адроблены,,Samsung
unexpected,нечаканы,,няма ў тэрмінах
unflag,зняць пазнакі,,Samsung
unhide,зрабіць бачнай,,Google ((related to folder/label menu) Show this folder when viewing photos.)
unicode,унікод,,"Google, Anki, Бел. Вікі — унікод (скарачэнне ад «Універсальны код»)
MS — юнікод"
unidentified,"неапазнаны, нявызначаны",,"MS — нявызначаны, невядомы, неапазнаны"
unimplimented,нерэалізаваны (прагр.),,
uninstall,выдаліць; ! дэінсталяваць (калі побач з remove),,"Google (When referring to software, to remove program files and folders from the hard disk and remove related data from the registry so the software or solution is no longer available.), Samsung, MS — выдаліць
Google Pixel — выдаліць; дэінсталяваць (калі побач з remove)

На прыладах Samsung можна пабачыць сітуацыю, калі побач стаяць uninstall і delete і на беларускай гэта выдаліць і выдаліць, толькі з рознымі значкамі"
unit,адзінка,,Samsung
United Arab Emirates,Аб’яднаныя Арабскія Эміраты,,CLDR
United Kingdom,Вялікабрытанія,,CLDR
United States,Злучаныя Штаты Амерыкі,,CLDR
United States Minor Outlying Islands,Малыя Аддаленыя астравы ЗША,,CLDR
United States Virgin Islands,Амерыканскія Віргінскія астравы,,CLDR
universal,універсальны,,Samsung
universal remote control,універсальнае дыстанцыйнае кіраванне,,Samsung
unknown,невядомы,,Samsung
Unknown sources,Невядомыя крыніцы,,Google (Feature setting that appears in the UI. Allows an Android device to download apps from sources other than Google Play.)
unknown user,невядомы карыстальнік,,Samsung
Unlimited,Безліміт,Безлімітны,"Google (Short form of the current glossary term “YouTube Unlimited”. A paid subscription that offers ads-free, background, and offline features across the entire YouTube corpus and across all YouTube apps.)"
unlink,адвязаць; выдаліць сувязь,,"Telegram — адвязаць;
Samsung — выдаліць сувязь"
unlisted,не ў спісах,,"Google (Refers to visibility settings. An album that is only viewable by people who the link to the album has been shared with.; The setting for when a video is not public.)
Project Zomboid"
unlock,разблакіроўка; разблакіраваць,,"Google (To remove SIM restrictions on a mobile device, allowing use of the device with any carrier.);
Samsung — разблакіроўка; разблакіраваць"
unlock pattern,узор разблакіроўкі,,"Google (Method for unlocking a device. Instead of entering numbers and letters, the user can draw a linear pattern by connecting dots on the screen.)"
unmanaged,некіруемы,,MS
unmark,зняць пазнаку (з),,MS
unmarked,"неадзначаны, не пазначаны",,"MS – неадзначаны, не пазначаны;
Anki – без пазнакі (дзеянне, на 1 сімвал менш)"
unmaximize,"! скасаваць разгортванне, паменшыць",,гэта калі мы разгорнутае акно робім маленькім
unmount,адключаць,,Samsung
unnamed,без назвы; неназваны (калі выкарыстоўваем замест назвы),,
unordered list,неўпарадкаваны спіс,,Anki
unpair,разлучыць,,"Google (To remove the pairing of two devices that communicate with each other via Bluetooth technology.), Samsung, MS"
unpairing,разлучэнне,,Google (The process of removing two devices that communicate with each other via Bluetooth technology.)
unpin,адмацаваць,,"Google (To unfasten an item which currently has a fixed position – for example a note, post or a file.), MS, Telegram"
Unpublished,Публікацыя скасавана,Не апублікаваная,Google (Status within the Developer Console. App has been unpublished on Google Play and isn't available for download by new users. The app is still available on existing users' devices)
unread,непрачытаны,,Samsung
unresolvable,невырашальны,,
unstarred,без зорачкі,,Samsung
unsupported,не падтрымліваецца,,Samsung
unused,"неўжываны, неўжывальны",невыкарыстаны,"Telegram — неўжывальны
Anki — неўжываны"
unzip,распакаваць,,Samsung
up,уверх,,MS
up to date,гл. up-to-date,,
up-to-date,абноўлены (калі мае месца абнаўленне); актуалізаваны (калі мае месца актуалізацыя),,"MS — абноўлены (калі мае месца абнаўленне); актуалізаваны (калі мае месца актуалізацыя);
Samsung — актуальна"
upcoming,будучы,,Samsung
update,абнавіць; абнаўляць; абнаўленне,,"Google — абнаўленне (Software context: a new version that is used to improve or fix a software product/app.);
Samsung — Абнаўленне; абнаўляць"
Update pending,Чакаецца абнаўленне,,"Google (After the developer submitted an update to an existing app, they'll see an ""Update pending"" notification. Once the update is published, the update will start being distributed to existing users and the ""Update pending"" status won't be displayed.)"
Update rejected,Абнаўленне адхілена,,"Google (Status within the Developer Console. The updated app has been rejected due to a violation of Google Play policies. The most recent published version of the app is still available on Google Play, but the latest update will not be available.)"
updated,абноўлены,,Samsung
updater,інструмент абнаўлення,,
upgrade,абнавіць; абнаўленне; перайсці на даражэйшы план,,"MS — абнавіць, абнаўленне;
Google — абнаўленне;
Samsung — перайсці на даражэйшы план; абнавіць"
UPI,UPI,,Samsung
upload,"запампаваць, запампоўваць; запампоўка (аб’ект); запампоўванне (працэс)",,"Google — запампаваць (To copy a video to YouTube servers and make it available on the YouTube system.), Samsung — запампоўваць

MS — запампаваць (To transfer a copy of a file from a local computer to a remote computer by means of a modem or network., To transfer content from an Xbox console to the Xbox service.); запампоўка (The content that is transferred from an Xbox console to the Xbox service.); запампоўванне, запампоўка (A process of transferring a copy of a file from a local computer to a remote computer by means of a modem or network.)"
Upload Date,Дата запампоўкі,Запампаваць дату,Google
uploader,"запампавальнік, ! запампоўшчык; загрузчык",загрузнік,"Google — запампавальнік (A user who transfers data to a computer system.)

Ubuntu: Лепш запампоўшчык, бо upload — запампаваць"
uploading,запампоўванне (працэс),,"Telegram — запампоўванне (працэс)

MS — запампоўванне, запампаванне, запампоўка, запампоўваецца, адпраўка"
upper case,верхні рэгістр,,Samsung
uppercase,верхні рэгістр,,Samsung
Urdu,урду,,CLDR
URL,"URL-адрас, URL (калі мала месца)",,"Samsung — URL;
MS — URL-адрас, URL"
URLs,URL-адрасы,,MS
Uruguay,Уругвай,,CLDR
US,ЗША,,CLDR
US English,англійская (ЗША),,CLDR
usage,выкарыстанне,,Samsung
usage policy,палітыка карыстання,,"Google (The policy that YouTube will apply to a video reference file within a content owner's account. This is a policy that acts similarly to a match policy, but is designated to only match against videos that are uploaded to the content owner's own YouTube account.)"
USB,USB,,Samsung
USB accessory,USB-прыстасаванне,,Samsung
USB connector,USB-пераходнік,,Samsung
USB drive,USB-дыск,,"Google (A small device used to store information. USB flash drives plug into computer USB ports so you can copy information to or from them, making it easy to share and transport information.)"
USB mass storage,масавае USB-сховішча,,Samsung
USB storage,USB-сховішча,,"Google (External phone memory that users can save files to and access via USB. This is equivalent to the use of SD cards for phones that devices that support these.), Samsung"
USB-connector,USB-пераходнік,,Samsung
use,выкарыстоўваць; ужываць; карыстацца; скарыстацца,,"Telegram, Anki — выкарыстоўваць, ужываць, карыстацца, скарыстацца;
Samsung — карыстацца; выкарыстоўваць; ужываць"
"Use Game Tools and Tuning mode to manage your games, such as enabling No alerts during game.","Выкарыстоўвайце Game Tools і рэжым настройкі, каб кіраваць сваімі гульнямі, напрыклад уключэннем «Без абвестак падчас гульні».",,Samsung
Use Gear without phone connection,Карыстайцеся Gear без злучэння з тэлефонам,,Samsung
Use SE for Android security,Выкарыстоўваць ахову SE для Android,,Samsung
useful,карысны,,Samsung
user,карыстальнік,,"Samsung
Wikipedia — удзельнік (тэрмін склаўся гістарычна, хутчэй за ўсё пад уплывам рускай Вікіпедыі. Закранае прасторы назваў Вікіпедыі, таму замена тэрміна можа выклікаць сур’ёзныя тэхнічныя збоі ў Праекце. Ёсць кансэнсус на тым, што так мы называем менавіта зарэгістраваных карыстальнікаў), карыстальнік (гіперонім для ўсіх людзей, якія так ці інакш сутыкаюцца з Вікі і неабавязкова рэгіструюцца ў ёй. У выпадку зарэгістраванага карыстальніка, перавага аддаецца тэрміну «удзельнік»)"
user account,уліковы запіс,,
User accounts & rights,Уліковыя запісы і правы карыстальнікаў,,"Google (A section within the Google Play Developer Console where account owners can add users to an account. Account owners can also select roles for users, which grants that user specific permissions within the Console.)"
user dictionary,карыстальніцкі слоўнік,,"Google (Dictionary containing a list of words supplied by the user. By adding a word, the user indicates that the spellchecker should accept it as correct even though it is not in the original app dictionary.)"
user name,гл. username,,
user profile,профіль карыстальніка,,Samsung
username,імя карыстальніка,,Samsung
UTF-8,UTF-8,,Samsung
utility,"утыліта, утыліты",,"утыліта — Samsung, Google
службовая праграма, дапаможная праграма — MS"
UV checker,УФ-дэтэктар,ЎФ-дэтэктар,Samsung
Uzbek,узбекская,,CLDR
Uzbekistan,Узбекістан,,CLDR
Vaduz,Вадуц,,Samsung
valid,сапраўдны; правільны,,"Samsung, Anki"
Valid only at,Дзейнічае толькі для,,Samsung
validate,праверыць,,Google
validation,"! праверка, пацверджанне",,MS
validator,сродак праверкі,,Google
Valletta,Валета,,Samsung
value,значэнне,,Samsung
Vanuatu,Вануату,,CLDR
variable,пераменная,зменная,"MS

Прыжыўшыся матэматычны тэрмін"
variety,разнастайны; разнастайнасць,,Samsung
various,розны,,Samsung
vasoconstriction,"сасудазвужэнне, вазаканстрыкцыя",,Project Zomboid — сасудазвужэнне
vasodilation,"сасударасшырэнне, ! вазадылятацыя (вазадыляцыя?)",,Project Zomboid — сасударасшырэнне
Vatican,Ватыкан,,CLDR
Vatican City,Ватыкан,,CLDR
vCard,vCard,,Samsung
VCF,VCF,,Samsung
VCM,Відэабіржа,Відэарынак,"Google (VCM is the short version of Video Creation Marketplace within YouTube. The VCM is a platform for brands and creators to connect, collaborate, and together become more sucessful on YouTube. The VCM connects brands in need of video assets with YouTube creators offering video creation services. In the long term, we view the VCM as a platform for brands to connect with creators and third parties that can help them succeed on YouTube, whether with their first video, or with full channel management services. For more information: https://videocreationmarketplace.appspot.com/ For internal, check go/vcm as well for more info.)"
Vega keyboard,Клавіятура Vega,,Samsung
vegetable,гародніна,,Samsung
vehicle,"транспарт, транспарту, аўтамабіль",,"Project Zomboid — транспарт, транспарту;
Samsung — аўтамабіць"
Velcro,засцежка-ліпучка,,"Google (Hook-and-loop sticker with adhesive backing. Used to hold the Cardboard flaps in place. This is the official protected product/brand name ""Velcro"" which may need to stay in EN for your language, unless it has an official translation)"
Venezuela,Венесуэла,,CLDR
verification,спраўджанне,,Samsung
verification code,код спраўджання,,Samsung
verified,спраўджаны,,Google
verify,спраўдзіць,,"Google, Samsung"
verify age,спраўдзіць узрост,,Samsung
Verify Apps,Праверка праграм,,"Google (Android feature. Android devices that have Google Play installed have the option of using Google’s Verify Apps feature, which scans apps when you install them and periodically scans for potentially harmful apps.)"
version,версія,,Samsung
vertical,вертыкальны,,
vertical sync,вертыкальная сінхранізацыя,,Project Zomboid
VHS,"VHS, відэакасета",,"MS — відэакасета,
Project Zomboid —VHS, відэакасета"
Vibop,Vibop,,"Google (Vibop is a name; do not translate. Vibop makes your videos shine with just a few clicks. Add an animated intro, a vintage filter, a cartoon look, a silent movie theme, and dozens of other effects.)"
vibrate,вібрыраваць,,Samsung
vibration,вібрасігнал; вібрацыя,,Samsung
vibration pattern,схема вібрацыі,,Samsung
vicinity,наваколле,,Samsung
VidCon,Канферэнцыя VidCon,,Google (Annual video conference event for YouTube creators and for people who love online video. For more info see: www.vidcon.com)
video,відэа,,Samsung
